year,section_bucket,subsection,proposal_title,lead_agency,implementation_pathway,source_page,health_framed,commitment_text
2023,Public safety / justice,,Expand the State’s Gun Involved Violence Elimination Program,,mixed,74,no,"Expand the State's Gun-Involved Violence Elimination Program

The State's nationally recognized GIVE program uses evidence-based strategies to reduce shootings and save lives in the 20 jurisdictions hardest hit by gun violence, spread across 17 counties, that account for 80 percent of the violent crime that occurs outside of New York City.

Last year, Governor Hochul doubled the resources available to local law enforcement agencies through GIVE. These agencies have played a crucial role in reversing the upward trend in murders and shootings and returning most of the state to pre-pandemic levels of gun violence. To build on that success, Governor Hochul is proposing to again double GIVE funding, from $18 million to $36 million. This funding would be used to hire approximately 150 police officers and prosecutors dedicated to combating gun violence within their communities, while also supporting police

departments in their adoption of evidence-based strategies, such as hotspot policing, focused deterrence, crime prevention through environmental design, and street outreach. By pairing state resources with expert technical assistance, the State will help local law enforcement agencies focus on the small number of individuals responsible for most of the violence within their communities and rebuild the places most traumatized by persistent violent crime."
2023,Public safety / justice,,Expand the Work of Crime Analysis Centers and Include New York City,DCJS,mixed,78,no,"Fifteen years ago, New York launched a first-of-its-kind network of regional Crime Analysis Centers (CACs). These centers collect and share criminal intelligence and data among law enforcement agencies, but historically, they did not include New York City. Nonetheless, this network has become a national model and the backbone of state and local efforts to deter, investigate, and solve crimes, including murders, shootings, robberies, hate crimes, and serial burglaries, as well as those committed by national and regional organized criminal groups. Prior to 2021, the State invested just $8. million each year to support 10 centers, which served more than 350 law enforcement

agencies across 30 counties and handled more than 60,000 requests each year.

Last year, Governor Hochul established a dedicated $15 million funding stream to support this key public safety resource, which enabled the acquisition of new crime analysis technology, the deployment of additional crime analysts, and enhanced investigative support, as well as the installation of crime gun and ballistic tracing equipment to solve more violent crimes involving firearms. In order to build on that progress, and address the significant public safety challenges in New York City, now is the time to develop and expand crime analysis and intelligence sharing with New York City partners to ensure statewide coverage of this critical data-sharing collaborative.

Governor Hochul is directing the Division of Criminal Justice Services (DCJS), which administers the CAC network, to establish dedicated crime analysis and intelligence resources in New York City and partner with local and federal agencies to assist their crime prevention, investigation, and prosecution efforts. This new partnership will integrate with the existing regional crime analysis capabilities located within New

York's High Intensity Drug Trafficking Area (HIDTA) program, which is focused on disrupting the illegal narcotics trade and cycle of gun violence.

In addition, this expansion will allow for truly statewide data sharing to enable more proactive and effective strategies to combat criminal activity, which often crosses city, county, and state lines.

Finally, as part of the work of the CACs across the state, and to help solve gun crimes and reduce gun violence, Governor Hochul will work with prosecutors and police to begin sending DNA on all criminal guns in New York State can be sent to the statewide DNA database of people who have already been convicted of a gun- related crime and be analyzed more quickly. This will allow law enforcement to better assess crime scene evidence and solve cases involving gun crimes."
2023,Public safety / justice,,Hire Hundreds of New Prosecutors Around the State,,mixed,80,no,"District Attorneys (DAs) are a critical part of any effective public safety strategy. Effective prosecutorial work allows for fair, swift, and certain justice, which, in turn, deters crime. But DAs across the state are

straining to meet the challenges of recent years - from increases in gun violence, violent crime, and property crime, to new discovery requirements enacted in 2019, all of which have increased the workloads of the offices.

That is why Governor Hochul is going to more than triple the $12 million currently provided by the State's ""Aid to Prosecution"" program in order to hire hundreds of new prosecutors around the state. This unprecedented level of state support for DAs will help develop crime strategy plans and units, reduce case backlogs, and return New York to pre-pandemic numbers of pending cases."
2023,Public safety / justice,,Increase NYSP Participation on Federal Task Forces to Combat Violent Crime,,mixed,77,no,"The NYSP collaborates with federal and local partners on various task forces aimed at removing illegal guns and curbing violent crime. These task forces are critical to our mission of attacking illegal gun trafficking and violent crime on all fronts. Gun trafficking organizations and violent criminals operate across jurisdictional boundaries, making it more challenging for state and local law enforcement to investigate. NYSP currently has investigators who are designated full-time federal task force officers with the U.S. Marshals Service, the Drug Enforcement Administration (DEA), the Bureau of Alcohol, Tobacco and Firearms and Explosives (ATF),

the Federal Bureau of Investigation (FBI) and the Department of Homeland Security (DHS), among others. This year, Governor Hochul will fund additional investigators to broaden State participation on federal task forces aimed at curbing violent crime, as well as the Joint Terrorism Task Force (JTTF)."
2023,Public safety / justice,,Make Improvements to the State’s Bail Laws,,mixed,82,no,"There has been no aspect of the discussion around public safety more controversial than bail reform. Last year, Governor Hochul worked with the Legislature to make changes to the State's bail law, including an expansion of bail eligibility for repeat offenders and gun crimes.

Governor Hochul believes in the original goal of bail reform: to ensure that the size of someone's bank account should not determine whether they sit in jail or return home. The most consequential parts of bail reform eliminated cash bail for low-level offenses, and Governor Hochul stands by that watershed change.

At the same time, other parts of the bail law are contradictory on their face. On one hand, the law limits judges to making pretrial determinations based solely on the ""least restrictive means"" necessary to ensure a defendant's return to court. On the other hand, the law also directs judges to consider a range of other factors

when setting bail. This results in finger-pointing and confusion when defendants commit additional crimes of violence.

For serious crimes (those that remain eligible for bail), Governor Hochul believes the ""least restrictive"" standard should be eliminated. Data from before and after the enactment of bail reform actually shows that eliminating the ""least restrictive"" standard for bail- eligible offenses - while retaining it for less serious crimes - will not increase the overall rate of pretrial incarceration. Of course, we also must understand that changing our bail law will not automatically bring down crime. What it will do is make it crystal clear that judges do, in fact, have the discretion necessary to protect the safety of New Yorkers.

During this legislative session, Governor Hochul will work with the Legislature to make thoughtful changes to the bail law along these lines, consistent with the spirit behind its original passage, in order to restore confidence in our criminal justice system."
2023,Public safety / justice,,Rebuild the State Police with a Targeted Focus on Fighting Serious Crimes,,mixed,75,no,"The New York State Police (NYSP) plays a critical role in partnering with federal and local law enforcement to keep crime under control in communities across the state. Historically, however, the NYSP has had a broad mandate, with crime-fighting among a range of priorities for the agency. At the same time, the NYSP trooper headcount dwindled and is now significantly below full strength. Despite this, Governor Hochul's directive that the NYSP expand its work on gun violence has resulted in a 138 percent increase in gun seizures, with 2,026 guns seized between August 2021 and

December 2022, compared to 851 in the prior comparable period. Governor Hochul will now pursue a multi-pronged strategy to rebuild the NYSP and focus the entire agency on serious crime-fighting efforts."
2023,Public safety / justice,,Reduce Gun Violence and Violent Crime Amongst Individuals Under Parole Supervision,DOCCS,mixed,84,no,"A significant share of individuals arrested for a shooting are those under parole supervision and those who have recently left the Department of Corrections and Community Supervision (DOCCS) custody. This provides an opportunity to effectively focus preventive measures. To sharpen the State's response to gun violence among the population of individuals under parole supervision, Governor Hochul will take a series of actions:

• Establish a Supervision Against Violent Engagement (SAVE) Program in Buffalo, Syracuse, and Albany, based on a pilot program in Rochester. Individuals under parole supervision identified at the highest level of risk to reoffend will be placed on electronic monitoring and higher levels of supervision.

• Provide a full-time, senior parole officer to serve as a data coordinator for each of the GIVE jurisdictions to facilitate intelligence gathering and sharing at the local level.

• Embed a full-time, senior investigator within the Office of Special Investigations (OSI) at DOCCS in each of the State Police's gun violence task force jurisdictions to attend and gather cross- jurisdictional information."
2024,Public safety / justice,SECTION 2: KEEPING NEW YORKERS SAFE,Expand the Supervision Against Violent Engagement Program to Focus on Domestic Violence,,mixed,36,no,"Governor Hochul will direct funding to expand the Supervision Against Violent Engagement (SAVE) program to support closer supervision of parolees at high risk of committing domestic violence, ensuring that specially trained parole officers, with smaller caseloads, are assigned to these individuals. This builds on the work that the SAVE program, advanced in 2023, is already undertaking to tackle gun violence."
2024,Public safety / justice,SECTION 2: KEEPING NEW YORKERS SAFE,Fund GIVE Jurisdictions to Stop Cycles of Domestic Violence,,executive_budget,36,no,"The risk of domestic homicide increases by 500% when a firearm is present in the home. Building on the success of existing efforts to reduce gun violence and firearm-related violent crime, dedicated funding will be provided to law enforcement in GIVE jurisdictions to focus on domestic violence offenders in order to identify and engage with the most high- risk individuals and reduce recidivism."
2024,Schools / higher education,SECTION 7: GETTING BACK TO BASICS ON READING,"Fund Training for 20,000 Teachers in Effective Reading Instruction",,executive_budget,65,no,"Every day, teachers across the state pour their lives into supporting their students and instilling a love of reading. Their work makes a tangible difference in their students' lives and ensures a brighter future for New York State's economy and civic life.

To help further equip teachers with the resources they need, Governor Hochul is providing $10 million for teacher training programs to ensure teachers are prepared to utilize evidence-based reading standards in the classroom. The New York State United Teachers and the United Federation Teachers have already begun training thousands of teachers in the Science of Reading, and this funding will support the training of 20,000 additional teachers and elementary school teaching assistants."
2024,Health care,SECTION 14: IMPROVING THE HEALTH OF NEW YORKERS,Improve Public Health for All New Yorkers,,mixed,129,yes,"New York State continues to make immense progress in improving the health and well- being of New Yorkers over the last two decades, moving from 40th in the nation in 1990, to 28th in 2008, to 10th in 2018. Despite this progress, New York State still faces significant challenges. More than 40% of New York adults suffer from a chronic disease - such as asthma, cancer, heart disease, and more - and chronic diseases are responsible for 23% of all hospitalizations in New York State. Six out of every ten deaths in New York State are caused by chronic diseases, and heart disease and cancer account for more than half of all deaths in New York State. The health of New Yorkers is unfortunately not equitable - historically marginalized communities, including communities of color and those with special needs, are more greatly impacted by the health and safety of their environment and accessibility to quality care and services.

New York State has made strides in eliminating preventable epidemics, with the goal of decreasing the number of people living with diagnosed HIV. However, the state faces many outstanding public health challenges, especially in vulnerable populations. 74% of new HIV

diagnoses are for Black and Hispanic individuals, despite those groups accounting for only 34% of the population. There are five to 13 more deaths per 100,000 people from opioid overdoses for Black and Hispanic individuals than for white individuals. Despite efforts to create safer and healthier environments, gun violence impacts black and brown communities at higher rates than white communities. While New York State continues to improve its public health infrastructure, remaining information gaps undermine the State's ability to do even more to meet both the emergent and non-emergent needs of New Yorkers. In addition, dated and paper-based systems continue to create burdens and privacy concerns for healthcare providers and New Yorkers."
2024,Public safety / justice,SECTION 2: KEEPING NEW YORKERS SAFE,Prevent and Prosecute Domestic Violence,,mixed,34,no,"Domestic violence accounts for approximately 40% of felony assaults in New York City and 30% of aggravated assaults outside of New York City. Domestic homicides account for roughly 20% of homicides in any given year in the state. In New York, police departments respond to nearly eleven hundred domestic incident calls a day.

Many domestic violence offenders are never prosecuted, and dismissal rates remain high across the state but particularly in New York City. Absent prosecution, offenders' abusive behavior may continue and escalate. Given this, and consistent with Governor Hochul's longstanding commitment to supporting victims of domestic violence, New York will make bold investments in a set of proven strategies to increase the likelihood of successfully prosecuting domestic violence cases and seizing firearms, deter future violence among high-risk offenders, and help survivors recover and gain stability."
2024,Health care,SECTION 14: IMPROVING THE HEALTH OF NEW YORKERS,Reduce Gun Violence Through a Public Health Approach,DOH,mixed,134,yes,"New York State has been a leading voice in the national discourse around gun violence prevention. In Governor Hochul's action plan to prevent and reduce gun violence throughout New York State, the Office of Gun Violence Prevention (OGVP) was created in the New York State Department of Health to operate as the coordinating body for efforts across the state, bringing together key partners in the community, local municipalities, and state agencies to identify and implement a public health approach to curb gun violence in New York State.

Gun violence is the leading cause of premature death in the United States, costing the country approximately $557 billion per year and New York approximately $11. billion per year. In 2020, firearms became the leading cause of death for children under 19, surpassing traffic accidents for the first time ever. Guns are the leading method of suicide in the U.S., accounting for half of all suicide deaths. Black, Indigenous, and other people of color (BIPOC) across New York State have endured a disproportionate burden of gun violence, with Black New Yorkers being 10 times more likely to be killed with a gun than their white counterparts.105

Governor Hochul will direct the Department of Health's OGVP to implement a comprehensive set of strategies aimed at preventing gun violence. New York State will convene a Health Systems for Gun Violence Prevention Taskforce, charged with focusing on data infrastructure, firearm injury risk assessment screening, and hospital violence intervention strategies. The State will provide technical assistance to community-based organizations and hospitals across the state to align their hospital violence intervention programs with the recently signed Medicaid Reimbursement for Violence Prevention Programs legislation, which allows Medicaid beneficiaries impacted by community violence to receive violence prevention services from qualified community health workers.

New York State will also continue building public awareness to change the narrative on gun violence to discourage perpetuating stereotypes based on race and class that exacerbate racial injustice and health inequity. Building upon Governor Hochul's expansion of the Red Flag Law in June 2022 that allowed healthcare providers to file an Extreme Risk Protection Order petition to prevent individuals who show signs of being a threat to themselves or others from accessing any kind of firearm, New York State will offer training and awareness for healthcare providers. New York State will continue to invest in community- led youth programs in historically under-resourced communities that experience the highest rates of gun violence. Finally, New York State will create a syndromic surveillance system for firearm-related injuries and a dashboard for the public."
2024,Government operations / customer experience,SECTION 18: FIGHTING CYBER CRIME,Safeguard Teens from Online Sexual Exploitation,,mixed,164,no,"A 2022 Pew Research survey showed that 95% of teenagers are using social media and 46% of teenagers say they are on the internet almost constantly. These high rates of internet use by teenagers, coupled with recent technology advancements such as artificial intelligence and the use of manipulated fake images and videos (known as ""deepfakes""), mean that online harassment and internet-enabled crimes are increasingly impacting young people. The FBI has reported a troubling rise in a type of technology-facilitated abuse known as sextortion - in which a perpetrator threatens to distribute a victim's private and sensitive material if not provided with images of a sexual nature, sexual favors, or money. Perpetrators of sextortion most commonly target minors because of the long

periods of time they spend online and because minors are susceptible to grooming and manipulation by adults.

Data collected by the FBI shows a 1,000% increase in incidents of financial sextortion reported in the first six months of 2022 as compared to the same timeframe in 2021. In December 2022, the FBI issued a national public safety alert on financial sextortion schemes, citing over 7,000 reports of online financial sextortion of minors, of which 3,000 victims were as young as eight years old and were primarily boys, and more than a dozen suicides. FBI Director Christopher Wray noted that in particular, ""the FBI has seen a horrific increase in the reports of financial sextortion schemes targeting minor boys.""114

One of the most impactful ways to prevent sextortion is teaching minors about online safety, the potential consequences of sharing explicit content, the signs of manipulative behavior, and red flags indicative of potential sextortion attempts.115,116,117 In 2024, Governor Hochul will direct the Office for the Prevention of Domestic Violence (OPDV) to develop sextortion-focused training and technical assistance programs as well as a public- facing informational website and to conduct a public awareness campaign. The training and technical assistance programs will assist both gender-based violence support organizations and law enforcement agencies seeking to support victims and investigate sextortion crimes. The public-facing website will provide educational materials for guardians and other audiences. The public awareness campaign will use social media platforms to publicize the warning signs of sextortion, technology-facilitated abuse, and deepfakes."
2024,Housing / homelessness,SECTION 5: CREATING HOUSING TO DELIVER AFFORDABILITY,Streamline Regulatory Processes to Increase Housing Production,DEC,mixed,54,no,"At Governor Hochul's direction, the Department of Environmental Conservation (DEC) has begun its process to identify efficiencies in its State Environmental Quality Review (SEQR) regulations, including to promote environmentally friendly housing growth while maintaining critical protections for all communities. DEC is poised to commence stakeholder outreach in the beginning of this year. The Department of State (DOS) has adopted SEQR regulations that conform to DEC SEQR regulations and relate to variances for certain housing under the Uniform Fire Prevention and Building Code and State Energy Conservation Construction Code."
2025,"Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex","Chapter 11: Supporting Survivors of Sexual Assault, Gender-Based Violence, and Sex",Dispossess Domestic Violence Abusers of Firearms,,mixed,91,no,"New York law currently lacks a specific crime that fully aligns with federal requirements for reporting domestic violence convictions to the Federal Bureau of Investigation's National Instant Criminal Background Checks System (NICS), allowing some abusers to evade firearm restrictions. To address this, a new crime of ""Domestic Violence"" will be created under the penal law, which can be charged concurrently with existing offenses, ensuring all elements necessary for federal reporting are automatically met. This change streamlines the process, eliminates factual inquiries, and ensures convicted abusers are entered into NICS, preventing them from accessing firearms."
2025,Chapter 14: Investing in Social Services and Equity 108,Chapter 14: Investing in Social Services and Equity 108,Enhance Veteran Suicide Prevention Initiatives,,mixed,117,no,"Veterans in New York experience suicide rates significantly higher than the general population, driven by high rates of post-traumatic stress disorder and depression. Approximately one in four New York veterans experience conditions that significantly increase their risk of suicide. Through the national Governor's Challenge to Prevent Suicide Among Service Members, Veterans, and Military Families, New York has developed innovative approaches to reducing veteran suicides.

To build on these efforts, Governor Hochul will secure new funding to expand suicide prevention initiatives. This will include enhanced risk assessment training, outreach tools, gun safety programs, and improved access to tele-mental health services for veterans statewide."
2025,Chapter 4: Investing in Safety 33,Chapter 4: Investing in Safety 33,Establish a Mass Violence Crisis Response Team,,executive_action,41,no,"Mass violence incidents, including the 2022 Tops supermarket shooting in Buffalo, have exposed gaps in New York State's ability to provide immediate support to victims and survivors. Delays in emergency funding, limited access to mental health services, and inadequate resources for basic needs have highlighted the need for a more effective response. To address these challenges, Governor Hochul will establish a Mass Violence Crisis Response Team, led by the Office of Victim Services (OVS) in partnership with the Division of Homeland Security and Emergency Services

(DHSES). This team will ensure rapid, coordinated support for survivors and their communities, addressing immediate needs in the aftermath of such events."
2025,Chapter 3: Helping Our Children Thrive 24,Chapter 3: Helping Our Children Thrive 24,Expand Media Literacy Effort to Combat Misinformation,,mixed,33,no,"The growing threat of mis/dis/mal-information is creating significant challenges, including radicalization, confusion during crises, and declining trust in factual information, with dangerous real-world consequences such as the Buffalo shooting and misinformation during the Maui wildfires of 2023. In response, Governor Hochul directed the New York State Division of Homeland Security and Emergency Services (DHSES) to develop a Media Literacy Toolkit to help educators teach students how to critically evaluate information.

Building on this work, Governor Hochul will direct DHSES to expand its media literacy efforts by creating a Teacher's Guide with age-specific examples, resources for parents and the public, and a public education campaign. These initiatives aim to equip the next generation with critical media literacy skills to navigate the complex information landscape."
2025,Chapter 12: Investing in Mental Health 92,Chapter 12: Investing in Mental Health 92,Support Community-Determined Wellness in Historically Marginalized Neighborhoods,,mixed,98,yes,"New York gained valuable insights into recovery and healing after the racially motivated Tops Supermarket shootings in East Buffalo, which claimed the lives of ten people in 2022. Intergenerational population-level trauma from decades of underinvestment, violence, and poverty led to an understandable distrust of a government attempting to respond with care and mental health support for a community in mourning. A new approach was needed, and through the

collective efforts of the East Buffalo community a new grassroots approach was developed and unique mental wellness programming emerged. The community convened in barbershops for mental wellness talks, supported father-son outings, hosted traditional African American healing circles, and united around music, dance, and artwork.

Governor Hochul will use the knowledge gained from the East Buffalo response and develop an innovative grant program to support community-driven, culturally responsive wellness programming in areas of the state that have experienced longstanding marginalization, violence, and poverty. Community-based organizations will gather together smaller grassroots entities that have an established neighborhood presence and a history of advocacy to develop population-specific mental wellness activities aimed at building resilience, healing generational trauma, and providing residents with opportunities to thrive."
2026,Chapter 7: Helping New York's Students Learn and Thrive 104,Chapter 7: Helping New York's Students Learn and Thrive 104,Back to Basics in Math: Transforming Math Learning through Quality Instruction and Professional Learning,SED,mixed,107,no,"Governor Hochul worked with teachers and school districts to ensure schools are teaching students to read the right way-by aligning instructional best practices with the evidence-based Science of Reading principles. As a result of these sweeping policy changes, and the hard work of our students and teachers, statewide reading proficiency rates have already begun to increase.

Building on that success, Governor Hochul will apply this model to the teaching of math, by proposing legislation to require the State Education Department (SED) to provide instructional best practices to school districts in the teaching of math, as well as guidance and resources to help educators select and implement curricula that align with state standards.

The State will also direct SUNY and CUNY to develop microcredentials in evidence-based math instruction to support New York's teachers and launch statewide professional learning opportunities in math instruction, including through regional hub pilots in New York's districts with the lowest math performance.

Together, these actions will support increased math learning for students, equip teachers across the state with evidence-based teaching techniques and materials, and create opportunities for professional learning."
